GeneName	SAMN15636466	SAMN15636467	SAMN15636468	SAMN15636469	SAMN15636470	SAMN15636471
AMPD3	298	492	356	647	608	449
AMPH	5	12	2	1	33	8
AMT	890	548	393	845	601	684
AMY1A	893	1235	953	891	1084	976
AMY1AP	19	36	22	17	51	8
AMY2A	141	157	83	107	242	251
AMZ2	1	0	2	2	2	1
ANAPC1	1995	2949	2152	2762	2557	3932
ANAPC10	535	471	347	511	574	589
ANAPC11	0	0	0	0	0	0
ANAPC13	7	2	4	18	7	4
ANAPC15	685	631	385	850	863	976
ANAPC16	1452	1197	952	1167	907	1364
ANAPC2	1462	1475	1039	1504	1242	1748
ANAPC4	309	314	371	328	407	315
ANAPC5	811	788	523	521	686	1069
ANAPC7	660	767	652	845	853	764
ANGEL1	1147	1870	1567	1901	1803	2101
ANGEL2	807	731	545	569	753	687
ANGPT1	44	72	61	139	131	51
ANGPT1L	6	12	7	6	10	11
ANGPT2	1237	1341	2036	1474	1384	1021
ANGPT4	3595	2758	3467	6114	2482	3147
ANGPTL1	85	128	169	89	196	93
ANGPTL2	840	906	1066	558	1648	595
ANGPTL3	0	0	0	0	1	3
ANGPTL4	740	279	234	890	264	402
ANGPTL5	74	26	36	21	89	34
ANGPTL6	2	3	1	9	6	12
ANGPTL7	81	15	14	6	3	17
ANK1	238	392	572	843	835	374
ANK2	363	1027	1033	557	2061	941
ANK3	850	1353	1264	1258	1519	2089
ANKDD1A	110	80	78	106	150	148
ANKDD1B	6	6	18	17	29	9
ANKEF1	0	2	2	1	10	2
ANKFN1	1	8	2	1	3	1
ANKFN1L	140	211	183	201	306	210
ANKFY1	3235	4777	4526	4771	4603	6834
ANKH	1202	800	635	855	650	1155
ANKHD1	1601	3399	2859	3223	3358	4640
ANKIB1	439	670	807	791	790	622
ANKK1	0	0	1	2	1	0
ANKLE1	511	544	476	556	293	623
ANKLE2	468	715	741	616	714	702
ANKMY1	470	501	281	399	567	686
ANKMY2	431	502	549	652	678	391
ANKRA2	337	401	343	371	462	364
ANKRD1	44	22	16	19	41	18
ANKRD10	819	1047	980	893	1263	788
ANKRD11	2609	4016	4246	4739	4641	2853
ANKRD12	190	286	303	302	437	228
ANKRD13A	1484	1723	1792	2165	2218	1656
ANKRD13B	163	161	147	239	213	149
ANKRD13C	2387	2376	2302	2576	2439	3208
ANKRD13D	1689	1521	1258	1607	1531	1820
ANKRD16	279	290	225	293	248	540
ANKRD17	1936	4176	3769	3996	3773	5671
ANKRD2	9	15	7	10	20	9
ANKRD22	359	272	262	313	412	408
ANKRD24	149	190	91	125	150	301
ANKRD26	233	282	230	238	358	329
ANKRD27	728	896	740	688	967	1093
ANKRD28	819	1098	1056	889	1124	1188
ANKRD29	258	358	339	368	426	558
ANKRD31	100	208	221	194	242	260
ANKRD33	154	106	47	71	123	198
ANKRD33B	3	5	1	27	11	4
ANKRD34B	107	112	103	100	171	90
ANKRD34C	22	9	19	15	27	13
ANKRD39	393	225	363	463	490	236
ANKRD40	523	487	325	497	414	483
ANKRD42	77	63	67	51	105	94
ANKRD44	1368	1749	1964	2170	2457	1738
ANKRD46	789	903	931	870	987	947
ANKRD49	448	372	279	305	316	438
ANKRD50	1668	3149	3029	2863	3365	3362
ANKRD52	700	1913	1345	1549	1300	2420
ANKRD54	1423	1216	1439	1246	1310	1044
ANKRD55	0	1	4	3	5	1
ANKRD6	386	621	493	487	637	701
ANKRD60	18	45	37	47	73	52
ANKRD61	9	9	7	7	2	4
ANKRD66	87	50	40	56	71	54
ANKRD9	253	133	111	269	174	239
ANKRD9L	1	0	0	2	9	2
ANKS1A	471	747	825	874	1143	771
ANKS1B	72	79	174	89	210	129
ANKS3	606	829	756	908	868	744
ANKS4B	24	18	7	26	15	32
ANKS6	239	300	326	293	369	268
ANKZF1	555	796	341	622	457	886
ANLN	706	804	654	621	716	960
ANO1	1157	1110	976	1274	974	1732
ANO10	1263	1238	976	1151	1284	1619
ANO2	84	125	50	65	96	145
ANO3	129	271	241	226	338	249
ANO4	5	7	2	9	21	12
ANO5	952	1386	1495	1333	2122	953
ANO6	547	1061	1099	1528	1311	603
ANO8	579	359	689	964	885	430
ANO9	6	3	3	17	9	6
ANOS1	82	168	256	87	243	110
ANP32A	1207	1081	1244	1304	1570	956
ANP32B	3792	3732	2970	4259	3781	3822
ANP32E	2507	3740	4020	4114	4209	3070
ANPEP	3131	3561	3003	5318	3682	2723
ANTXR1	832	1194	1593	1164	2025	1076
ANTXR2	1443	1978	2134	2218	2952	1609
ANTXRL	1069	2135	2275	2165	2356	1444
ANXA1	2525	1502	1936	2150	2630	1464
ANXA10	5	1	5	1	0	2
ANXA11	2720	3177	2861	3015	3716	2889
ANXA13	10	22	24	31	38	37
ANXA2	8701	4317	6284	6600	7494	4501
ANXA4	1048	1254	2185	1218	1411	1364
ANXA5	9255	6156	7243	5631	6869	6300
ANXA6	12106	11088	10976	13496	11855	13479
ANXA7	1234	794	899	842	1059	882
ANXA8L1	1568	1006	1184	927	881	605
AOAH	265	267	355	669	563	350
AOC1	1	0	2	10	7	1
AOC3	817	658	737	696	1238	664
AOPEP	338	404	352	270	429	283
AOX1	272	338	453	409	556	353
AOX2	59	116	93	103	129	70
AP1AR	612	776	610	636	792	810
AP1B1	3177	3329	2455	3747	2811	4999
AP1G1	3411	4654	3677	4366	4860	5862
AP1M1	1362	1281	1113	1178	1260	1435
AP1S2	1237	1090	1141	1534	1378	1375
AP1S3	403	331	258	247	205	453
AP2A2	4576	5812	5205	5780	5401	8363
AP2B1	5422	6403	5586	7131	6409	10833
AP2M1	15576	12394	12265	14920	12272	17898
AP2S1	2863	1816	1891	2777	2231	2877
AP3B1	1101	1170	1216	1232	1165	1257
AP3B2	359	304	262	395	421	479
AP3D1	2075	2113	1979	2335	2130	2702
AP3M1	1453	1403	1406	1478	1588	1633
AP3M2	1315	1416	1484	1502	1545	1608
AP3S1	507	490	431	457	453	371
AP3S2	1505	1078	1044	1455	1315	1501
AP4B1	921	1099	839	1140	1018	1400
